000430	대원강업	KOSPI
065690	파커스	KOSDAQ
437730	삼현	KOSDAQ
077500	유니퀘스트	KOSPI
114450	그린생명과학	KOSDAQ
011560	세보엠이씨	KOSDAQ
092460	한라IMS	KOSDAQ
092780	DYP	KOSPI
094940	푸른기술	KOSDAQ
321370	센서뷰	KOSDAQ
306620	지아이에스	KOSDAQ
085910	네오티스	KOSDAQ
006660	삼성공조	KOSPI
900260	로스웰	KOSDAQ
002220	한일철강	KOSPI
005680	삼영전자공업	KOSPI
417010	나노팀	KOSDAQ
419080	엔젯	KOSDAQ
322780	코퍼스코리아	KOSDAQ
460470	아이빔테크놀로지	KOSDAQ
330730	스톤브릿지벤처스	KOSDAQ
099430	바이오플러스	KOSDAQ
058970	엠로	KOSDAQ
232680	라온로보틱스	KOSDAQ
263860	지니언스	KOSDAQ
119610	인터로조	KOSDAQ
038070	서린바이오	KOSDAQ
001540	안국약품	KOSDAQ
032500	케이엠더블유	KOSDAQ
010170	대한광통신	KOSDAQ
006110	삼아알미늄	KOSPI
340570	티앤엘	KOSDAQ
187870	디바이스	KOSDAQ
007330	푸른저축은행	KOSDAQ
378850	화승알앤에이	KOSPI
457370	한켐	KOSDAQ
347850	디앤디파마텍	KOSDAQ
397030	에이프릴바이오	KOSDAQ
331920	셀레믹스	KOSDAQ
208710	포톤	KOSDAQ
192440	슈피겐코리아	KOSDAQ
203650	드림시큐리티	KOSDAQ
040350	크레오에스지	KOSDAQ
037760	쎄니트	KOSDAQ
018260	삼성에스디에스	KOSPI
004890	동일산업	KOSPI
381620	제닉스로보틱스	KOSDAQ
068100	케이웨더	KOSDAQ
037030	파워넷	KOSDAQ
219420	링크제니시스	KOSDAQ
122990	와이솔	KOSDAQ
071200	인피니트헬스케어	KOSDAQ
059090	미코	KOSDAQ
039740	한국정보공학	KOSDAQ
019210	와이지-원	KOSDAQ
025560	미래산업	KOSPI
000500	가온전선	KOSPI
000590	CS홀딩스	KOSPI
489500	엘케이켐	KOSDAQ
474610	RF시스템즈	KOSDAQ
452200	민테크	KOSDAQ
308080	바이젠셀	KOSDAQ
321260	프로이천	KOSDAQ
227610	아우딘퓨쳐스	KOSDAQ
131090	시큐브	KOSDAQ
131290	티에스이	KOSDAQ
035290	골드앤에스	KOSDAQ
036000	예림당	KOSDAQ
402340	SK스퀘어	KOSPI
000850	화천기공	KOSPI
002960	한국쉘석유	KOSPI
004710	한솔테크닉스	KOSPI
001020	페이퍼코리아	KOSPI
000150	두산	KOSPI
212710	아이에스티이	KOSDAQ
323350	다원넥스뷰	KOSDAQ
319400	현대무벡스	KOSDAQ
307180	아이엘	KOSDAQ
101680	한국정밀기계	KOSDAQ
059100	아이컴포넌트	KOSDAQ
086960	MDS테크	KOSDAQ
066900	디에이피	KOSDAQ
034730	SK	KOSPI
383930	디티앤씨알오	KOSDAQ
299660	셀리드	KOSDAQ
178320	서진시스템	KOSDAQ
219130	타이거일렉	KOSDAQ
097800	윈팩	KOSDAQ
060310	3S	KOSDAQ
039830	오로라	KOSDAQ
028080	휴맥스홀딩스	KOSDAQ
071950	코아스	KOSPI
078930	GS	KOSPI
013000	세우글로벌	KOSPI
002450	삼익악기	KOSPI
125020	티씨머티리얼즈	KOSDAQ
456010	아이씨티케이	KOSDAQ
365900	브이씨	KOSDAQ
900340	윙입푸드	KOSDAQ
243070	휴온스	KOSDAQ
187790	나노	KOSDAQ
168330	내츄럴엔도텍	KOSDAQ
115500	케이씨에스	KOSDAQ
027580	상보	KOSDAQ
051160	지어소프트	KOSDAQ
043360	디지아이	KOSDAQ
005990	매일홀딩스	KOSDAQ
031510	오스템	KOSDAQ
007390	네이처셀	KOSDAQ
012610	경인양행	KOSPI
010100	한국무브넥스	KOSPI
420570	제이투케이바이오	KOSDAQ
261780	차백신연구소	KOSDAQ
276730	한울앤제주	KOSDAQ
900250	크리스탈신소재	KOSDAQ
215790	이노인스트루먼트	KOSDAQ
051360	토비스	KOSDAQ
047080	한빛소프트	KOSDAQ
293480	하나제약	KOSPI
123700	에스제이엠	KOSPI
085310	엔케이	KOSPI
092200	디아이씨	KOSPI
007860	서연	KOSPI
000240	한국앤컴퍼니	KOSPI
000150	페스카로	KOSDAQ
000150	아로마티카	KOSDAQ
000150	그린광학	KOSDAQ
446540	메가터치	KOSDAQ
356860	티엘비	KOSDAQ
290690	소룩스	KOSDAQ
332570	PS일렉트로닉스	KOSDAQ
347890	엠엑스온	KOSDAQ
204270	제이앤티씨	KOSDAQ
290650	엘앤씨바이오	KOSDAQ
242040	나무기술	KOSDAQ
123010	알엔티엑스	KOSDAQ
087010	펩트론	KOSDAQ
166480	코아스템켐온	KOSDAQ
079940	가비아	KOSDAQ
032580	피델릭스	KOSDAQ
026910	광진실업	KOSDAQ
462520	조선내화	KOSPI
453340	현대그린푸드	KOSPI
